1,14,27,40,53,66,79,92,105,118,131,144,157,170,183,196,209,222,235,248,261,274,287,300,313,326,339,352,365,378,391,404,417,430,443,456,469,482,495,508,521,534,547,560,573,586,599,612,625,638,651,664,677,690,703,716,729,742,755,768,781,794,807,820,833,846,859,872,885,898,911,924,937,950,963,976,989,1002,1015,1028,1041,1054,1067,1080,1093,1106,1119,1132,1145,1158,1171,1184,1197,1210,1223,1236,1249,1262,1275,1288,1301,1314,1327,1340,1353,1366,1379,1392,1405,1418,1431,1444,1457,1470,1483,1496,1509,1522,1535,1548,1561,1574,1587,1600,1613,1626,1639,1652,1665,1678,1691,1704,1717,1730,1743,1756,1769,1782,1795,1808,1821,1834,1847,1860,1873,1886,1899,1912,1925,1938,1951,1964,1977,1990,2003,2016,2029,2042,2055,2068,2081,2094,2107,2120,2133,2146,2159,2172,2185,2198,2211,2224,2237,2250,2263,2276,2289,2302
2,15,28,41,54,67,80,93,106,119,132,145,158,171,184,197,210,223,236,249,262,275,288,301,314,327,340,353,366,379,392,405,418,431,444,457,470,483,496,509,522,535,548,561,574,587,600,613,626,639,652,665,678,691,704,717,730,743,756,769,782,795,808,821,834,847,860,873,886,899,912,925,938,951,964,977,990,1003,1016,1029,1042,1055,1068,1081,1094,1107,1120,1133,1146,1159,1172,1185,1198,1211,1224,1237,1250,1263,1276,1289,1302,1315,1328,1341,1354,1367,1380,1393,1406,1419,1432,1445,1458,1471,1484,1497,1510,1523,1536,1549,1562,1575,1588,1601,1614,1627,1640,1653,1666,1679,1692,1705,1718,1731,1744,1757,1770,1783,1796,1809,1822,1835,1848,1861,1874,1887,1900,1913,1926,1939,1952,1965,1978,1991,2004,2017,2030,2043,2056,2069,2082,2095,2108,2121,2134,2147,2160,2173,2186,2199,2212,2225,2238,2251,2264,2277,2290,2303
3,16,29,42,55,68,81,94,107,120,133,146,159,172,185,198,211,224,237,250,263,276,289,302,315,328,341,354,367,380,393,406,419,432,445,458,471,484,497,510,523,536,549,562,575,588,601,614,627,640,653,666,679,692,705,718,731,744,757,770,783,796,809,822,835,848,861,874,887,900,913,926,939,952,965,978,991,1004,1017,1030,1043,1056,1069,1082,1095,1108,1121,1134,1147,1160,1173,1186,1199,1212,1225,1238,1251,1264,1277,1290,1303,1316,1329,1342,1355,1368,1381,1394,1407,1420,1433,1446,1459,1472,1485,1498,1511,1524,1537,1550,1563,1576,1589,1602,1615,1628,1641,1654,1667,1680,1693,1706,1719,1732,1745,1758,1771,1784,1797,1810,1823,1836,1849,1862,1875,1888,1901,1914,1927,1940,1953,1966,1979,1992,2005,2018,2031,2044,2057,2070,2083,2096,2109,2122,2135,2148,2161,2174,2187,2200,2213,2226,2239,2252,2265,2278,2291,2304
4,17,30,43,56,69,82,95,108,121,134,147,160,173,186,199,212,225,238,251,264,277,290,303,316,329,342,355,368,381,394,407,420,433,446,459,472,485,498,511,524,537,550,563,576,589,602,615,628,641,654,667,680,693,706,719,732,745,758,771,784,797,810,823,836,849,862,875,888,901,914,927,940,953,966,979,992,1005,1018,1031,1044,1057,1070,1083,1096,1109,1122,1135,1148,1161,1174,1187,1200,1213,1226,1239,1252,1265,1278,1291,1304,1317,1330,1343,1356,1369,1382,1395,1408,1421,1434,1447,1460,1473,1486,1499,1512,1525,1538,1551,1564,1577,1590,1603,1616,1629,1642,1655,1668,1681,1694,1707,1720,1733,1746,1759,1772,1785,1798,1811,1824,1837,1850,1863,1876,1889,1902,1915,1928,1941,1954,1967,1980,1993,2006,2019,2032,2045,2058,2071,2084,2097,2110,2123,2136,2149,2162,2175,2188,2201,2214,2227,2240,2253,2266,2279,2292,2305
5,18,31,44,57,70,83,96,109,122,135,148,161,174,187,200,213,226,239,252,265,278,291,304,317,330,343,356,369,382,395,408,421,434,447,460,473,486,499,512,525,538,551,564,577,590,603,616,629,642,655,668,681,694,707,720,733,746,759,772,785,798,811,824,837,850,863,876,889,902,915,928,941,954,967,980,993,1006,1019,1032,1045,1058,1071,1084,1097,1110,1123,1136,1149,1162,1175,1188,1201,1214,1227,1240,1253,1266,1279,1292,1305,1318,1331,1344,1357,1370,1383,1396,1409,1422,1435,1448,1461,1474,1487,1500,1513,1526,1539,1552,1565,1578,1591,1604,1617,1630,1643,1656,1669,1682,1695,1708,1721,1734,1747,1760,1773,1786,1799,1812,1825,1838,1851,1864,1877,1890,1903,1916,1929,1942,1955,1968,1981,1994,2007,2020,2033,2046,2059,2072,2085,2098,2111,2124,2137,2150,2163,2176,2189,2202,2215,2228,2241,2254,2267,2280,2293,2306
6,19,32,45,58,71,84,97,110,123,136,149,162,175,188,201,214,227,240,253,266,279,292,305,318,331,344,357,370,383,396,409,422,435,448,461,474,487,500,513,526,539,552,565,578,591,604,617,630,643,656,669,682,695,708,721,734,747,760,773,786,799,812,825,838,851,864,877,890,903,916,929,942,955,968,981,994,1007,1020,1033,1046,1059,1072,1085,1098,1111,1124,1137,1150,1163,1176,1189,1202,1215,1228,1241,1254,1267,1280,1293,1306,1319,1332,1345,1358,1371,1384,1397,1410,1423,1436,1449,1462,1475,1488,1501,1514,1527,1540,1553,1566,1579,1592,1605,1618,1631,1644,1657,1670,1683,1696,1709,1722,1735,1748,1761,1774,1787,1800,1813,1826,1839,1852,1865,1878,1891,1904,1917,1930,1943,1956,1969,1982,1995,2008,2021,2034,2047,2060,2073,2086,2099,2112,2125,2138,2151,2164,2177,2190,2203,2216,2229,2242,2255,2268,2281,2294,2307
7,20,33,46,59,72,85,98,111,124,137,150,163,176,189,202,215,228,241,254,267,280,293,306,319,332,345,358,371,384,397,410,423,436,449,462,475,488,501,514,527,540,553,566,579,592,605,618,631,644,657,670,683,696,709,722,735,748,761,774,787,800,813,826,839,852,865,878,891,904,917,930,943,956,969,982,995,1008,1021,1034,1047,1060,1073,1086,1099,1112,1125,1138,1151,1164,1177,1190,1203,1216,1229,1242,1255,1268,1281,1294,1307,1320,1333,1346,1359,1372,1385,1398,1411,1424,1437,1450,1463,1476,1489,1502,1515,1528,1541,1554,1567,1580,1593,1606,1619,1632,1645,1658,1671,1684,1697,1710,1723,1736,1749,1762,1775,1788,1801,1814,1827,1840,1853,1866,1879,1892,1905,1918,1931,1944,1957,1970,1983,1996,2009,2022,2035,2048,2061,2074,2087,2100,2113,2126,2139,2152,2165,2178,2191,2204,2217,2230,2243,2256,2269,2282,2295,2308
8,21,34,47,60,73,86,99,112,125,138,151,164,177,190,203,216,229,242,255,268,281,294,307,320,333,346,359,372,385,398,411,424,437,450,463,476,489,502,515,528,541,554,567,580,593,606,619,632,645,658,671,684,697,710,723,736,749,762,775,788,801,814,827,840,853,866,879,892,905,918,931,944,957,970,983,996,1009,1022,1035,1048,1061,1074,1087,1100,1113,1126,1139,1152,1165,1178,1191,1204,1217,1230,1243,1256,1269,1282,1295,1308,1321,1334,1347,1360,1373,1386,1399,1412,1425,1438,1451,1464,1477,1490,1503,1516,1529,1542,1555,1568,1581,1594,1607,1620,1633,1646,1659,1672,1685,1698,1711,1724,1737,1750,1763,1776,1789,1802,1815,1828,1841,1854,1867,1880,1893,1906,1919,1932,1945,1958,1971,1984,1997,2010,2023,2036,2049,2062,2075,2088,2101,2114,2127,2140,2153,2166,2179,2192,2205,2218,2231,2244,2257,2270,2283,2296,2309
9,22,35,48,61,74,87,100,113,126,139,152,165,178,191,204,217,230,243,256,269,282,295,308,321,334,347,360,373,386,399,412,425,438,451,464,477,490,503,516,529,542,555,568,581,594,607,620,633,646,659,672,685,698,711,724,737,750,763,776,789,802,815,828,841,854,867,880,893,906,919,932,945,958,971,984,997,1010,1023,1036,1049,1062,1075,1088,1101,1114,1127,1140,1153,1166,1179,1192,1205,1218,1231,1244,1257,1270,1283,1296,1309,1322,1335,1348,1361,1374,1387,1400,1413,1426,1439,1452,1465,1478,1491,1504,1517,1530,1543,1556,1569,1582,1595,1608,1621,1634,1647,1660,1673,1686,1699,1712,1725,1738,1751,1764,1777,1790,1803,1816,1829,1842,1855,1868,1881,1894,1907,1920,1933,1946,1959,1972,1985,1998,2011,2024,2037,2050,2063,2076,2089,2102,2115,2128,2141,2154,2167,2180,2193,2206,2219,2232,2245,2258,2271,2284,2297,2310
10,23,36,49,62,75,88,101,114,127,140,153,166,179,192,205,218,231,244,257,270,283,296,309,322,335,348,361,374,387,400,413,426,439,452,465,478,491,504,517,530,543,556,569,582,595,608,621,634,647,660,673,686,699,712,725,738,751,764,777,790,803,816,829,842,855,868,881,894,907,920,933,946,959,972,985,998,1011,1024,1037,1050,1063,1076,1089,1102,1115,1128,1141,1154,1167,1180,1193,1206,1219,1232,1245,1258,1271,1284,1297,1310,1323,1336,1349,1362,1375,1388,1401,1414,1427,1440,1453,1466,1479,1492,1505,1518,1531,1544,1557,1570,1583,1596,1609,1622,1635,1648,1661,1674,1687,1700,1713,1726,1739,1752,1765,1778,1791,1804,1817,1830,1843,1856,1869,1882,1895,1908,1921,1934,1947,1960,1973,1986,1999,2012,2025,2038,2051,2064,2077,2090,2103,2116,2129,2142,2155,2168,2181,2194,2207,2220,2233,2246,2259,2272,2285,2298,2311
11,24,37,50,63,76,89,102,115,128,141,154,167,180,193,206,219,232,245,258,271,284,297,310,323,336,349,362,375,388,401,414,427,440,453,466,479,492,505,518,531,544,557,570,583,596,609,622,635,648,661,674,687,700,713,726,739,752,765,778,791,804,817,830,843,856,869,882,895,908,921,934,947,960,973,986,999,1012,1025,1038,1051,1064,1077,1090,1103,1116,1129,1142,1155,1168,1181,1194,1207,1220,1233,1246,1259,1272,1285,1298,1311,1324,1337,1350,1363,1376,1389,1402,1415,1428,1441,1454,1467,1480,1493,1506,1519,1532,1545,1558,1571,1584,1597,1610,1623,1636,1649,1662,1675,1688,1701,1714,1727,1740,1753,1766,1779,1792,1805,1818,1831,1844,1857,1870,1883,1896,1909,1922,1935,1948,1961,1974,1987,2000,2013,2026,2039,2052,2065,2078,2091,2104,2117,2130,2143,2156,2169,2182,2195,2208,2221,2234,2247,2260,2273,2286,2299,2312
