;2;3;5;7;11;13;17;19;23;29;31;37;41;43;47;53;59;61;67;71;73;79;83;89;97
0; (49, 1); (33, 0); (19, 4); (14, 1); (9, 0); (7, 8); (5, 14); (5, 4); (4, 7); (3, 12); (3, 6); (2, 25); (2, 17); (2, 13); (2, 5); (1, 46); (1, 40); (1, 38); (1, 32); (1, 28); (1, 26); (1, 20); (1, 16); (1, 10); (1, 2)
1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
2; (1, 0); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
3; (1, 1); (1, 0); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
4; (2, 0); (1, 1); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
5; (2, 1); (1, 2); (1, 0); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
6; (3, 0); (2, 0); (1, 1); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
7; (3, 1); (2, 1); (1, 2); (1, 0); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
8; (4, 0); (2, 2); (1, 3); (1, 1); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
9; (4, 1); (3, 0); (1, 4); (1, 2); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
10; (5, 0); (3, 1); (2, 0); (1, 3); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
11; (5, 1); (3, 2); (2, 1); (1, 4); (1, 0); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
12; (6, 0); (4, 0); (2, 2); (1, 5); (1, 1); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
13; (6, 1); (4, 1); (2, 3); (1, 6); (1, 2); (1, 0); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
14; (7, 0); (4, 2); (2, 4); (2, 0); (1, 3); (1, 1); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
15; (7, 1); (5, 0); (3, 0); (2, 1); (1, 4); (1, 2); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
16; (8, 0); (5, 1); (3, 1); (2, 2); (1, 5); (1, 3); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
17; (8, 1); (5, 2); (3, 2); (2, 3); (1, 6); (1, 4); (1, 0); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
18; (9, 0); (6, 0); (3, 3); (2, 4); (1, 7); (1, 5); (1, 1); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
19; (9, 1); (6, 1); (3, 4); (2, 5); (1, 8); (1, 6); (1, 2); (1, 0); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
20; (10, 0); (6, 2); (4, 0); (2, 6); (1, 9); (1, 7); (1, 3); (1, 1); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
21; (10, 1); (7, 0); (4, 1); (3, 0); (1, 10); (1, 8); (1, 4); (1, 2); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
22; (11, 0); (7, 1); (4, 2); (3, 1); (2, 0); (1, 9); (1, 5); (1, 3); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
23; (11, 1); (7, 2); (4, 3); (3, 2); (2, 1); (1, 10); (1, 6); (1, 4); (1, 0); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
24; (12, 0); (8, 0); (4, 4); (3, 3); (2, 2); (1, 11); (1, 7); (1, 5); (1, 1); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
25; (12, 1); (8, 1); (5, 0); (3, 4); (2, 3); (1, 12); (1, 8); (1, 6); (1, 2); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
26; (13, 0); (8, 2); (5, 1); (3, 5); (2, 4); (2, 0); (1, 9); (1, 7); (1, 3); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
27; (13, 1); (9, 0); (5, 2); (3, 6); (2, 5); (2, 1); (1, 10); (1, 8); (1, 4); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
28; (14, 0); (9, 1); (5, 3); (4, 0); (2, 6); (2, 2); (1, 11); (1, 9); (1, 5); ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
29; (14, 1); (9, 2); (5, 4); (4, 1); (2, 7); (2, 3); (1, 12); (1, 10); (1, 6); (1, 0); ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
30; (15, 0); (10, 0); (6, 0); (4, 2); (2, 8); (2, 4); (1, 13); (1, 11); (1, 7); (1, 1); ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
31; (15, 1); (10, 1); (6, 1); (4, 3); (2, 9); (2, 5); (1, 14); (1, 12); (1, 8); (1, 2); (1, 0); ; ; ; ; ; ; ; ; ; ; ; ; ; 
32; (16, 0); (10, 2); (6, 2); (4, 4); (2, 10); (2, 6); (1, 15); (1, 13); (1, 9); (1, 3); (1, 1); ; ; ; ; ; ; ; ; ; ; ; ; ; 
33; (16, 1); (11, 0); (6, 3); (4, 5); (3, 0); (2, 7); (1, 16); (1, 14); (1, 10); (1, 4); (1, 2); ; ; ; ; ; ; ; ; ; ; ; ; ; 
34; (17, 0); (11, 1); (6, 4); (4, 6); (3, 1); (2, 8); (2, 0); (1, 15); (1, 11); (1, 5); (1, 3); ; ; ; ; ; ; ; ; ; ; ; ; ; 
35; (17, 1); (11, 2); (7, 0); (5, 0); (3, 2); (2, 9); (2, 1); (1, 16); (1, 12); (1, 6); (1, 4); ; ; ; ; ; ; ; ; ; ; ; ; ; 
36; (18, 0); (12, 0); (7, 1); (5, 1); (3, 3); (2, 10); (2, 2); (1, 17); (1, 13); (1, 7); (1, 5); ; ; ; ; ; ; ; ; ; ; ; ; ; 
